,datetime,personal,heavy_goods
422,2023-01-18 14:00:00+00:00,1154,282
423,2023-01-18 15:00:00+00:00,1246,298
424,2023-01-18 16:00:00+00:00,1584,332
425,2023-01-18 17:00:00+00:00,1668,235
426,2023-01-18 18:00:00+00:00,1339,149
427,2023-01-18 19:00:00+00:00,858,94
428,2023-01-18 20:00:00+00:00,586,74
429,2023-01-18 21:00:00+00:00,442,41
430,2023-01-18 22:00:00+00:00,258,30
431,2023-01-18 23:00:00+00:00,178,33
432,2023-01-19 00:00:00+00:00,95,12
433,2023-01-19 01:00:00+00:00,40,16
434,2023-01-19 02:00:00+00:00,46,17
435,2023-01-19 03:00:00+00:00,49,32
436,2023-01-19 04:00:00+00:00,64,55
437,2023-01-19 05:00:00+00:00,211,101
438,2023-01-19 06:00:00+00:00,683,191
439,2023-01-19 07:00:00+00:00,1553,351
440,2023-01-19 08:00:00+00:00,1875,329
441,2023-01-19 09:00:00+00:00,1136,349
442,2023-01-19 10:00:00+00:00,829,281
443,2023-01-19 11:00:00+00:00,904,255
444,2023-01-19 12:00:00+00:00,1006,245
445,2023-01-19 13:00:00+00:00,1033,243
446,2023-01-19 14:00:00+00:00,1101,251
447,2023-01-19 15:00:00+00:00,1476,322
448,2023-01-19 16:00:00+00:00,1625,319
449,2023-01-19 17:00:00+00:00,1857,261
450,2023-01-19 18:00:00+00:00,1421,152
451,2023-01-19 19:00:00+00:00,985,105
452,2023-01-19 20:00:00+00:00,645,66
453,2023-01-19 21:00:00+00:00,470,46
454,2023-01-19 22:00:00+00:00,314,30
455,2023-01-19 23:00:00+00:00,189,27
456,2023-01-20 00:00:00+00:00,117,16
457,2023-01-20 01:00:00+00:00,51,14
458,2023-01-20 02:00:00+00:00,82,24
459,2023-01-20 03:00:00+00:00,58,29
460,2023-01-20 04:00:00+00:00,80,51
461,2023-01-20 05:00:00+00:00,192,87
462,2023-01-20 06:00:00+00:00,638,194
463,2023-01-20 07:00:00+00:00,1415,347
464,2023-01-20 08:00:00+00:00,1820,373
465,2023-01-20 09:00:00+00:00,1041,330
466,2023-01-20 10:00:00+00:00,878,280
467,2023-01-20 11:00:00+00:00,948,270
468,2023-01-20 12:00:00+00:00,1061,247
469,2023-01-20 13:00:00+00:00,1198,265
470,2023-01-20 14:00:00+00:00,1353,298
471,2023-01-20 15:00:00+00:00,1655,314
472,2023-01-20 16:00:00+00:00,1714,259
473,2023-01-20 17:00:00+00:00,1627,218
474,2023-01-20 18:00:00+00:00,1334,145
475,2023-01-20 19:00:00+00:00,955,80
476,2023-01-20 20:00:00+00:00,693,59
